Batch,Robot,X,Y,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,leader
2,7,-0.09304718153269644,1.2249351354934555,0.9862250875325214,1.7977386818495418,1.0626045660944474,2.7701266240254494,1.2149342224747588,1.7014998478458905,2.042408166465509,,0.23158840455644303,2.6781426670442534,1.6417119805931069
2,8,-0.1632771917775785,1.0042522526366229,0.8242580553057701,1.6355834396932978,1.0355367174244683,2.55558872245535,0.9876959208482577,1.5808713394245022,1.820704519353933,0.23158840455644303,,2.4501012994881552,1.5367941995711922
2,9,-0.46826541358930274,-1.426792494444284,1.9017820754325043,1.533792131665272,2.4733696547008024,0.558313062836323,1.4632668999145424,1.9217361769133863,1.2101271001074922,2.6781426670442534,2.4501012994881552,,2.0473251199907425
3,0,0.33946317476930854,0.2820685398898086,,0.6840459985096738,0.5252838049031584,1.7320076601052652,0.568000333793027,0.6934493275114761,1.6137539849954023,0.9539290277586331,0.7994094005851209,1.7820916337211572,0.7182419917280035
3,1,0.7020448627672702,-0.2979775338023125,0.6840459985096738,,0.8653225336052724,1.2949106162988206,0.9316679282903445,0.27031148988992293,1.80559933801629,1.6346605011080961,1.4829489184322424,1.513851706468617,0.4213880331170822
3,2,0.782959789546981,0.5635535810097306,0.5252838049031584,0.8653225336052724,,2.1157999715375415,1.0917302871217505,0.6937016824621187,2.1373552385347834,1.024759193060043,0.9763283864857105,2.2398297083149155,0.6039032137870951
3,3,0.07171760044312006,-1.4291190132708773,1.7320076601052652,1.2949106162988206,2.1157999715375415,,1.4794733094220391,1.5523330866831444,1.5221969847608992,2.581673444459342,2.3736143586814684,0.47400803165402977,1.704138893230069
3,4,-0.1697932901596851,0.030508940357183656,0.568000333793027,0.9316679282903445,1.0917302871217505,1.4794733094220391,,1.085109595951303,1.0458465680208304,1.1243720603594392,0.9077062972284318,1.3907263892487616,1.1701910686483379
3,5,0.9049193211197722,-0.11934311462535549,0.6934493275114761,0.27031148988992293,0.6937016824621187,1.5523330866831444,1.085109595951303,,2.029472980298777,1.5926269387633423,1.4711484734179248,1.7839883712954665,0.15258805492175895
3,6,-1.096832700518549,-0.453632542561229,1.6137539849954023,1.80559933801629,2.1373552385347834,1.5221969847608992,1.0458465680208304,2.029472980298777,,1.910179122077451,1.6997268410188102,1.1326311019293096,2.1453414314822887
3,7,-0.057893263195371,1.1492988733125693,0.9539290277586331,1.6346605011080961,1.024759193060043,2.581673444459342,1.1243720603594392,1.5926269387633423,1.910179122077451,,0.22116281004760743,2.513888486645638,1.5620582756452115
